true_room,n_snapshots,top1_acc,topk_acc,mean_confidence
P101A,40,1.0,1.0,0.9992192032749523
P101B,55,1.0,1.0,0.9992192032749524
P102A,84,1.0,1.0,1.0
P102B,74,1.0,1.0,1.0
P103A,32,1.0,1.0,1.0
PALIER1ER,76,1.0,1.0,1.0
PALIER2E,69,1.0,1.0,1.0
S101A,86,1.0,1.0,1.0
S101B,50,1.0,1.0,1.0
S102A,61,1.0,1.0,1.0
S102B,50,1.0,1.0,1.0
S103B,73,1.0,1.0,1.0
S104,97,1.0,1.0,1.0
S202A,56,1.0,1.0,1.0
S202B,57,1.0,1.0,1.0
S203A,64,1.0,1.0,1.0
S203B,58,1.0,1.0,1.0
S204A,54,1.0,1.0,1.0
S204B,52,1.0,1.0,1.0
couloirB,32,1.0,1.0,1.0
couloirB(2e),85,1.0,1.0,1.0
couloirPbasA,50,1.0,1.0,1.0
couloirPbasB,69,1.0,1.0,1.0
pallierPbas,74,1.0,1.0,1.0
